name,type,description,color,hp,attacks_name_1,attacks_name_2,attacks_cost_1,attacks_cost_2,attacks_damage_1,attacks_damage_2,attacks_description_1,attacks_description_2,abilities_name_1,abilities_description_1,retreat,weakness,rarity,stage,evolves_from,illustrator,setId,card_number,url
Bulbasaur,Pokemon,,Grass,70,Vine Whip,,"['grass', 'colorless']",,40.0,,,,,,1,Fire,Common,Basic,,Narumi Sato,A1,1,https://ptcgpocket.gg/cards/a1-1-bulbasaur
Ivysaur,Pokemon,,Grass,90,Razor Leaf,,"['grass', 'colorless', 'colorless']",,60.0,,,,,,2,Fire,Uncommon,Stage 1,Bulbasaur,Kurata So,A1,2,https://ptcgpocket.gg/cards/a1-2-ivysaur
Venusaur,Pokemon,,Grass,160,Mega Drain,,"['grass', 'grass', 'colorless', 'colorless']",,80.0,,Heal 30 damage from this Pokémon.,,,,3,Fire,Rare,Stage 2,Ivysaur,Ryota Murayama,A1,3,https://ptcgpocket.gg/cards/a1-3-venusaur
Venusaur ex,Pokemon,,Grass,190,Razor Leaf,Giant Bloom,"['grass', 'colorless', 'colorless']","['grass', 'grass', 'colorless', 'colorless']",60.0,100.0,,Heal 30 damage from this Pokémon.,,,3,Fire,Double Rare,Stage 2,Ivysaur,PLANETA CG Works,A1,4,https://ptcgpocket.gg/cards/a1-4-venusaurex
Caterpie,Pokemon,,Grass,50,,,"['colorless', 'grass']",,,,Put 1 random  Pokémon from your deck into your hand.,,,,1,Fire,Common,Basic,,Miki Tanaka,A1,5,https://ptcgpocket.gg/cards/a1-5-caterpie
Metapod,Pokemon,,Grass,80,Bug Bite,,"['colorless', 'colorless']",,30.0,,,,,,2,Fire,Common,Stage 1,Caterpie,Yuka Morii,A1,6,https://ptcgpocket.gg/cards/a1-6-metapod
Butterfree,Pokemon,,Grass,120,Gust,,"['grass', 'colorless', 'colorless']",,60.0,,,,Powder Heal,"Once during your turn, you may heal 20 damage from each of your Pokémon.",1,Fire,Rare,Stage 2,Metapod,Shin Nagasawa,A1,7,https://ptcgpocket.gg/cards/a1-7-butterfree
Weedle,Pokemon,,Grass,50,Sting,,['grass'],,20.0,,,,,,1,Fire,Common,Basic,,Hajime Kusajima,A1,8,https://ptcgpocket.gg/cards/a1-8-weedle
Kakuna,Pokemon,,Grass,80,Bug Bite,,['grass'],,30.0,,,,,,2,Fire,Common,Stage 1,Weedle,miki kudo,A1,9,https://ptcgpocket.gg/cards/a1-9-kakuna
Beedrill,Pokemon,,Grass,120,Sharp Sting,,['grass'],,70.0,,,,,,1,Fire,Rare,Stage 2,Kakuna,You Iribi,A1,10,https://ptcgpocket.gg/cards/a1-10-beedrill
Oddish,Pokemon,,Grass,60,Ram,,['grass'],,20.0,,,,,,1,Fire,Common,Basic,,HYOGONOSUKE,A1,11,https://ptcgpocket.gg/cards/a1-11-oddish
Gloom,Pokemon,,Grass,80,Drool,,"['grass', 'colorless']",,40.0,,,,,,2,Fire,Uncommon,Stage 1,Oddish,Anesaki Dynamic,A1,12,https://ptcgpocket.gg/cards/a1-12-gloom
Vileplume,Pokemon,,Grass,140,Soothing Scent,,"['grass', 'grass', 'colorless']",,80.0,,Your opponent's Active Pokémon is now Asleep.,,,,3,Fire,Rare,Stage 2,Gloom,Kyoko Umemoto,A1,13,https://ptcgpocket.gg/cards/a1-13-vileplume
Paras,Pokemon,,Grass,70,Scratch,,"['grass', 'colorless']",,30.0,,,,,,1,Fire,Common,Basic,,Naoyo Kimura,A1,14,https://ptcgpocket.gg/cards/a1-14-paras
Parasect,Pokemon,,Grass,120,Slash,,"['grass', 'grass', 'colorless']",,80.0,,,,,,2,Fire,Uncommon,Stage 1,Paras,Eri Yamaki,A1,15,https://ptcgpocket.gg/cards/a1-15-parasect
Venonat,Pokemon,,Grass,60,Tackle,,['grass'],,20.0,,,,,,1,Fire,Common,Basic,,HYOGONOSUKE,A1,16,https://ptcgpocket.gg/cards/a1-16-venonat
Venomoth,Pokemon,,Grass,80,Poison Powder,,['grass'],,30.0,,Your opponent's Active Pokémon is now Poisoned.,,,,1,Fire,Uncommon,Stage 1,Venonat,Mina Nakai,A1,17,https://ptcgpocket.gg/cards/a1-17-venomoth
Bellsprout,Pokemon,,Grass,60,Vine Whip,,['grass'],,20.0,,,,,,1,Fire,Common,Basic,,HYOGONOSUKE,A1,18,https://ptcgpocket.gg/cards/a1-18-bellsprout
Weepinbell,Pokemon,,Grass,90,Razor Leaf,,"['grass', 'colorless']",,40.0,,,,,,2,Fire,Uncommon,Stage 1,Bellsprout,Miki Tanaka,A1,19,https://ptcgpocket.gg/cards/a1-19-weepinbell
Victreebel,Pokemon,,Grass,140,Vine Whip,,"['grass', 'colorless']",,60.0,,,,Fragrance Trap,"If this Pokémon is in the Active Spot, once during your turn, you may switch in 1 of your opponent's Benched Basic Pokémon to the Active Spot.",2,Fire,Rare,Stage 2,Weepinbell,Sumiyoshi Kizuki,A1,20,https://ptcgpocket.gg/cards/a1-20-victreebel
Exeggcute,Pokemon,,Grass,50,Seed Bomb,,['grass'],,20.0,,,,,,1,Fire,Common,Basic,,kawayoo,A1,21,https://ptcgpocket.gg/cards/a1-21-exeggcute
Exeggutor,Pokemon,,Grass,130,,,['grass'],,,,"Flip a coin. If heads, this attack does 30 more damage.",,,,3,Fire,Rare,Stage 1,Exeggcute,Yukiko Baba,A1,22,https://ptcgpocket.gg/cards/a1-22-exeggutor
Exeggutor ex,Pokemon,,Grass,160,,,['grass'],,,,"Flip a coin. If heads, this attack does 40 more damage.",,,,3,Fire,Double Rare,Stage 1,Exeggcute,PLANETA CG Works,A1,23,https://ptcgpocket.gg/cards/a1-23-exeggutorex
Tangela,Pokemon,,Grass,80,Absorb,,"['grass', 'colorless']",,40.0,,Heal 10 damage from this Pokémon.,,,,2,Fire,Common,Basic,,Midori Harada,A1,24,https://ptcgpocket.gg/cards/a1-24-tangela
Scyther,Pokemon,,Grass,70,Sharp Scythe,,['grass'],,30.0,,,,,,1,Fire,Common,Basic,,Hasuno,A1,25,https://ptcgpocket.gg/cards/a1-25-scyther
Pinsir,Pokemon,,Grass,90,,,"['grass', 'grass']",,,,Flip 2 coins. This attack does 50 damage for each heads.,,,,2,Fire,Uncommon,Basic,,Eri Yamaki,A1,26,https://ptcgpocket.gg/cards/a1-26-pinsir
Cottonee,Pokemon,,Grass,50,Attach,,['colorless'],,10.0,,,,,,1,Fire,Common,Basic,,Kanako Eo,A1,27,https://ptcgpocket.gg/cards/a1-27-cottonee
Whimsicott,Pokemon,,Grass,80,Rolling Tackle,,['colorless'],,40.0,,,,,,1,Fire,Uncommon,Stage 1,Cottonee,Atsuko Nishida,A1,28,https://ptcgpocket.gg/cards/a1-28-whimsicott
Petilil,Pokemon,,Grass,60,Blot,,['grass'],,10.0,,Heal 10 damage from this Pokémon.,,,,1,Fire,Common,Basic,,Naoyo Kimura,A1,29,https://ptcgpocket.gg/cards/a1-29-petilil
Lilligant,Pokemon,,Grass,100,Leaf Supply,,"['grass', 'grass', 'grass']",,50.0,,Take a grass Energy from your Energy Zone and attach it to 1 of your Benched,,,,1,Fire,Uncommon,Stage 1,Petilil,You Iribi,A1,30,https://ptcgpocket.gg/cards/a1-30-lilligant
Skiddo,Pokemon,,Grass,70,Surprise Attack,,['colorless'],,40.0,,"Flip a coin. If tails, this attack does nothing.",,,,1,Fire,Common,Basic,,Naoki Saito,A1,31,https://ptcgpocket.gg/cards/a1-31-skiddo
Gogoat,Pokemon,,Grass,120,Razor Leaf,,"['grass', 'colorless', 'colorless']",,70.0,,,,,,2,Fire,Common,Stage 1,Skiddo,You Iribi,A1,32,https://ptcgpocket.gg/cards/a1-32-gogoat
Charmander,Pokemon,,Fire,60,Ember,,['fire'],,30.0,,Discard a fire Energy from this Pokémon.,,,,1,Water,Common,Basic,,Teeziro,A1,33,https://ptcgpocket.gg/cards/a1-33-charmander
Charmeleon,Pokemon,,Fire,90,Fire Claws,,"['fire', 'colorless', 'colorless']",,60.0,,,,,,2,Water,Uncommon,Stage 1,Charmander,kantaro,A1,34,https://ptcgpocket.gg/cards/a1-34-charmeleon
Charizard,Pokemon,,Fire,150,Fire Spin,,"['fire', 'fire', 'colorless', 'colorless']",,150.0,,Discard 2 fire Energy from this Pokémon.,,,,2,Water,Rare,Stage 2,Charmeleon,takuyoa,A1,35,https://ptcgpocket.gg/cards/a1-35-charizard
Charizard ex,Pokemon,,Fire,180,Slash,Crimson Storm,"['fire', 'colorless', 'colorless']","['fire', 'fire', 'colorless', 'colorless']",60.0,200.0,,Discard 2 fire Energy from this Pokémon.,,,2,Water,Double Rare,Stage 2,Charmeleon,PLANETA Mochizuki,A1,36,https://ptcgpocket.gg/cards/a1-36-charizardex
