fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,status,project_type,master_ownership,song_ownership,time_tracked,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start,client_id,project_id
,2022-01-06,2022-03-14,,,,,25.0,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,67.0,,1,139
,2021-10-22,2021-11-03,,,,,14.86,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,12.0,,1,140
,,2018-10-23,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,2,153
,,2015-03-27,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,2,154
,,2015-03-27,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,2,155
,,2019-10-02,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,2,156
,,2019-10-02,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,2,152
,,2019-10-02,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,2,157
,2020-09-02,2020-09-09,,,,,25.48,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,7.0,,3,145
,,2018-10-24,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,4,151
,,2018-08-08,,,,,,Done,full production,,0.5,False,False,True,True,False,True,False,False,False,True,,,,4,150
,,2018-09-09,,,,,,Done,full production,,0.5,False,False,True,True,False,True,False,False,False,True,,,,4,149
2019-12-09,2020-02-03,2020-04-06,0.22666666666666666,,,0.20878400000000003,23.36,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.008938666666666668,63.0,56.0,5,72
2023-02-07,2023-02-23,2023-03-31,0.32,,,0.32,14.7,Done,vocal production,0.0,,True,False,False,False,True,False,False,False,True,False,0.021768,36.0,16.0,6,128
2022-11-30,2022-12-05,2023-01-17,0.6933333333333334,,,0.6933333333333334,29.1,Done,full production,,,True,False,False,False,True,False,False,False,True,False,0.023826666666666666,43.0,5.0,6,127
2022-08-21,2022-08-30,2022-11-16,0.26666666666666666,,0.019466666666666667,0.2472,12.79,Done,full production,,,True,False,False,True,False,False,False,False,True,False,0.019328,78.0,9.0,7,104
2020-09-16,2021-02-02,2022-05-20,0.22666666666666666,0.09333333333333334,0.004229333333333333,0.29052266666666665,26.92,Done,full production,,,True,True,False,True,False,False,False,False,True,False,0.010792,472.0,139.0,7,99
