Loan_Identifier,Monthly_Reporting_Period,Channel,Seller_Name,Servicer_Name,Original_Interest_Rate,Current_Interest_Rate,Original_UPB,Current_Actual_UPB,Original_Loan_Term,Loan_Age,Remaining_Months_to_Legal_Maturity,Remaining_Months_to_Maturity,Original_Loan_to_Value_Ratio_LTV,Original_Combined_Loan_to_Value_Ratio_CLTV,Number_of_Borrowers,Debt_To_Income_DTI,Borrower_Credit_Score_at_Origination,Co_Borrower_Credit_Score_at_Origination,First_Time_Home_Buyer_Indicator,Loan_Purpose,Property_Type,Number_of_Units,Occupancy_Status,Property_State,Metropolitan_Statistical_Area_MSA,Zip_Code_Short,Mortgage_Insurance_Percentage,Amortization_Type,Prepayment_Penalty_Indicator,Interest_Only_Loan_Indicator,Current_Loan_Delinquency_Status,Loan_Payment_History,Modification_Flag,Zero_Balance_Code,UPB_at_the_Time_of_Removal,Total_Principal_Current,Foreclosure_Costs,Property_Preservation_and_Repair_Costs,Asset_Recovery_Costs,Miscellaneous_Holding_Expenses_and_Credits,Associated_Taxes_for_Holding_Property,Net_Sales_Proceeds,Credit_Enhancement_Proceeds,Repurchase_Make_Whole_Proceeds,Other_Foreclosure_Proceeds,Modification_Related_Non_Interest_Bearing_UPB,Principal_Forgiveness_Amount,Mortgage_Insurance_Type,Servicing_Activity_Indicator,Special_Eligibility_Program,Foreclosure_Principal_Write_off_Amount,Relocation_Mortgage_Indicator,Property_Valuation_Method,High_Balance_Loan_Indicator,Borrower_Assistance_Plan,High_Loan_to_Value_HLTV_Refinance_Option_Indicator,Repurchase_Make_Whole_Proceeds_Flag,Alternative_Delinquency_Resolution,Alternative_Delinquency_Resolution_Count,Total_Deferral_Amount,Payment_Deferral_Modification_Event_Indicator,From_File,From_File_Numeric
100036915856,2000-03-01 00:00:00,R,"Wells Fargo Bank, N.A.",,7.75,7.75,135000.0,0.0,360.0,1.0,359.0,348.0,73.0,,2.0,29.0,749.0,760.0,False,P,SF,1.0,P,NJ,35620,70.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100151690382,2002-04-01 00:00:00,R,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",8.125,8.125,155000.0,149051.19,360.0,27.0,333.0,314.0,83.0,,2.0,29.0,630.0,647.0,False,P,SF,1.0,P,NY,39100,125.0,17.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100207354995,2010-06-01 00:00:00,B,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",7.875,7.875,74000.0,64131.66,360.0,124.0,236.0,235.0,80.0,,1.0,39.0,636.0,,False,C,SF,1.0,P,ID,30300,835.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100292236815,2000-08-01 00:00:00,R,Other,,8.5,8.5,57000.0,0.0,360.0,5.0,355.0,355.0,95.0,,1.0,56.0,709.0,,False,P,SF,1.0,P,MD,12580,212.0,25.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100393376629,2016-05-01 00:00:00,R,"Wells Fargo Bank, N.A.",Other,7.625,7.625,50000.0,35015.4,360.0,196.0,164.0,156.0,90.0,,1.0,37.0,716.0,,True,P,SF,1.0,P,GA,0,317.0,17.0,FRM,False,False,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100505214975,2002-08-01 00:00:00,R,"Gmac Mortgage, Llc","Gmac Mortgage, Llc",8.125,8.125,108000.0,103313.47,360.0,30.0,330.0,309.0,61.0,,1.0,42.0,767.0,,False,R,SF,1.0,P,CO,39380,810.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100619071828,2000-08-01 00:00:00,B,"Bank Of America, N.A.",,8.125,8.125,70000.0,70006.31,360.0,7.0,353.0,353.0,69.0,,2.0,18.0,804.0,705.0,False,R,SF,1.0,P,OK,36420,730.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100710809124,2000-08-01 00:00:00,R,Other,,9.0,9.0,13000.0,0.0,360.0,5.0,355.0,355.0,20.0,,1.0,17.0,775.0,,True,P,SF,1.0,P,PA,0,177.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100820492614,2005-04-01 00:00:00,R,"Citimortgage, Inc.","Citimortgage Asset Management, Inc.",7.5,7.5,87000.0,66983.81,180.0,62.0,118.0,118.0,79.0,,2.0,35.0,809.0,786.0,False,R,CO,1.0,P,CA,31080,913.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
100891825768,2001-03-01 00:00:00,R,Other,,8.5,8.5,54000.0,52086.21,180.0,11.0,169.0,169.0,73.0,,2.0,54.0,762.0,798.0,False,R,SF,1.0,I,AR,22220,727.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
101002934176,2002-10-01 00:00:00,B,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, National Association",8.0,8.0,95000.0,91798.35,360.0,34.0,326.0,323.0,95.0,,1.0,41.0,591.0,,False,P,SF,1.0,P,NC,20500,277.0,30.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
101108446227,2003-07-01 00:00:00,R,"Jp Morgan Chase Bank, Na",Other,7.65,7.65,74000.0,67090.58,360.0,42.0,318.0,270.0,74.0,,2.0,29.0,636.0,623.0,False,C,SF,1.0,P,CO,24540,806.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
101209119970,2000-03-01 00:00:00,B,"Bank Of America, N.A.",,8.625,8.625,81000.0,0.0,360.0,0.0,360.0,359.0,85.0,,2.0,53.0,695.0,558.0,False,R,SF,1.0,P,PA,42540,185.0,12.0,FRM,False,,00,,False,,,,,,,,,,,,,,,2.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
