activity,datetime,hours
Client Production,2016-11-08 14:51:00,1.58
Client Production,2016-11-08 16:40:00,1.53
Client Production,2016-11-09 13:18:00,1.5
Client Production,2016-11-09 15:18:00,1.55
Client Production,2016-11-11 13:06:00,1.5
Client Production,2016-11-14 12:50:00,1.48
Client Production,2016-11-15 17:20:00,1.52
Client Production,2016-11-15 19:15:00,1.5
Client Production,2016-11-15 21:10:00,1.47
Client Production,2016-11-16 16:21:00,1.5
Client Production,2016-11-17 16:00:00,1.12
Client Production,2016-11-18 12:06:00,1.77
Client Production,2016-11-18 17:30:00,3.85
Client Production,2016-11-22 12:26:00,1.55
Client Production,2016-11-22 15:29:00,0.75
Client Production,2016-11-22 17:13:00,1.57
Client Production,2016-11-22 17:46:00,0.55
Client Production,2016-11-22 18:34:00,0.8
Client Production,2016-11-23 11:30:00,0.75
Client Production,2016-11-23 12:22:00,0.67
Client Production,2016-11-23 14:00:00,0.87
Client Production,2016-11-28 11:24:00,0.92
Client Production,2016-11-28 15:46:00,2.0
Client Production,2016-11-28 17:28:00,0.73
Client Production,2016-11-28 18:14:00,0.75
Client Production,2016-11-28 19:13:00,0.78
Client Production,2016-11-28 20:18:00,0.88
Client Production,2016-11-29 11:29:00,0.77
Client Production,2016-11-29 12:41:00,1.0
Client Production,2016-11-29 14:32:00,0.82
Client Production,2016-11-29 15:38:00,0.82
Client Production,2016-11-29 17:29:00,0.82
Client Production,2016-11-29 18:35:00,0.9
Client Production,2016-11-30 10:41:00,0.78
Client Production,2016-11-30 11:42:00,0.77
Client Production,2016-11-30 14:05:00,0.75
Client Production,2016-11-30 18:15:00,0.78
Client Production,2016-12-01 11:54:00,0.75
Client Production,2016-12-01 13:09:00,0.75
Client Production,2016-12-01 15:00:00,0.8
Client Production,2016-12-01 16:05:00,0.82
Client Production,2016-12-01 17:40:00,0.88
Client Production,2016-12-01 18:40:00,0.82
Client Production,2016-12-01 19:55:00,0.83
Client Production,2016-12-05 11:42:00,0.82
Client Production,2016-12-05 14:30:00,0.92
Client Production,2016-12-05 15:56:00,0.75
Client Production,2016-12-05 16:52:00,0.75
Client Production,2016-12-06 12:01:00,0.77
Client Production,2016-12-06 14:23:00,0.78
Client Production,2016-12-06 15:48:00,0.9
Client Production,2016-12-06 17:03:00,0.75
Client Production,2016-12-07 18:46:00,0.77
Client Production,2016-12-12 11:17:00,0.53
Client Production,2016-12-12 13:56:00,0.33
Client Production,2016-12-12 15:54:00,0.77
Client Production,2016-12-12 17:02:00,0.92
Client Production,2016-12-12 18:19:00,0.87
Client Production,2016-12-12 19:17:00,0.75
Client Production,2016-12-12 20:26:00,0.78
Client Production,2016-12-13 11:02:00,0.77
Client Production,2016-12-13 15:53:00,0.85
Client Production,2016-12-13 18:01:00,0.85
Client Production,2016-12-13 19:40:00,0.83
Client Production,2016-12-13 20:41:00,0.82
Client Production,2016-12-14 17:00:00,0.87
Client Production,2016-12-14 17:57:00,0.78
Client Production,2016-12-14 19:58:00,0.8
Client Production,2016-12-14 21:45:00,0.8
Client Production,2016-12-15 12:07:00,0.98
Client Production,2016-12-15 12:54:00,0.52
Client Production,2016-12-15 15:51:00,0.77
Client Production,2016-12-15 16:52:00,0.78
Client Production,2016-12-15 18:18:00,0.78
Client Production,2016-12-15 19:24:00,0.9
Client Production,2016-12-16 14:38:00,0.78
Client Production,2016-12-16 15:35:00,0.77
Client Production,2016-12-19 12:57:00,0.75
Client Production,2016-12-19 16:40:00,0.78
Client Production,2016-12-19 17:44:00,0.78
Client Production,2016-12-19 18:48:00,0.82
Client Production,2016-12-19 19:47:00,0.85
Client Production,2016-12-19 22:48:00,0.83
Client Production,2016-12-20 13:08:00,0.82
Client Production,2016-12-20 14:23:00,0.83
Client Production,2016-12-20 17:07:00,1.1
Client Production,2016-12-20 18:10:00,0.77
Client Production,2016-12-20 19:08:00,0.77
Client Production,2016-12-21 14:30:00,0.8
Client Production,2016-12-22 10:52:00,1.08
Client Production,2016-12-22 14:02:00,0.87
Client Production,2016-12-22 15:14:00,0.77
Client Production,2016-12-22 17:03:00,0.88
